"ID","title","description","date","creator","ts_key","collection","timestamp","relation","subject","reference"
77,"Vietnam: A Long Way to Journey","Overview of the infrastructure projects contracted by the RMK-BRJ, a Morrison-Knudsen Company Inc. joint venture, to build ports, highways and airbases in South Vietnam.","1968","Morrison Knudsen Company","RrC9","Morrison Knudsen Company",12/19/2017 14:46:36,"Morrison Knudsen Company","Engineering & construction; international relations","MSS 296"
78,"A Tragic Past","Dr. Robert C. Sims presents on Idaho and Japanese American Relocation in World War II, the Minidoka internment camp","1988","University Television Productions","qBBx","Archives Media",12/19/2017 14:57:59,"History","civil liberties","RG 58"
79,"Focus on BSU: Japanese Internment","Dr. Robert C. Sims interviewed by John Franden on Focus on BSU, they discuss Japanese American Relocation in World War II and its legacy.","1988","University Television Productions","36zo","Archives Media",12/19/2017 14:57:48,"History","civil liberties","RG 58, Box 14, UTP19881219"
80,"Volleyball vs. University of Montana","Boise State University Volleyball vs. University of Montana.","1989-09-08","Boise State University","InI1","Athletics",12/19/2017 14:58:19,"Volleyball","sports","RG 30.8, Volleyball 890908"
81,"Volleyball vs. Weber State University","Boise State University Volleyball vs. Weber State University at home.","1989-09-21","Boise State University","SUNz","Athletics",12/19/2017 14:58:50,"Volleyball","sports","RG 30.8, Volleyball 890921"
82,"Volleyball vs. University of Montana","Boise State University Volleyball vs. University of Montana at Boise State.","1989-10-12","Boise State University","Xfiq","Athletics",12/19/2017 14:58:54,"Volleyball","sports","RG 30.8, Volleyball 891012"
83,"Volleyball vs. Idaho State University","Boise State University Volleyball vs. Idaho State University at home.","1989-10-28","Boise State University","ju94","Athletics",12/19/2017 14:59:00,"Volleyball","sports","RG 30.8, Volleyball 891028"
84,"Multi-Minority Perspective","Dr. Robert McCarl leads a panel discussion on diversity, human rights, and culture.","1992","University Television Productions","1p2P","University Television Productions",12/19/2017 15:08:54,"Martin Luther King Jr. Human Rights Celebration","civil liberties","RG 58, Box 18, UTP19920721"
85,"Euzkaldunak: Basques in Boise","Secretary of State Pete Cenarrusa, hosts a documentary on the significance of the Basque culture in Southwest Idaho. Includes interviews with John Bieter, Pat Bieter, Flora Aldazabal (Basque Center), Bar Gernika,  Michelle Alzola, and more.","1993","Boise State University","qp0U","University Television Productions",12/19/2017 15:14:33,"Basque Studies",,"RG 58, Box 19, UTP19930600"
86,"Women's Basketball vs. Idaho","Women's Basketball vs. University of Idaho at Moscow.","1993-03-05","Boise State University","ztug","Athletics",12/20/2017 12:42:23,"Women's Basketball","sports","RG 30.8 Women's Basketball, 930305"
