"ID","title","description","date","creator","ts_key","collection","timestamp","relation","subject","reference"
269,"Year In Photos","A video showing Boise State through photographs ","2011-07-29","Communications and Marketing","dOV5","Archives Media",12/7/2017 8:47:50,"Photographic Services","campus life","UER RG 216, A17-24, 9268"
270,"Year In Photos","A video showing Boise State through photographs ","2014-08-13","Communications and Marketing","MvB0","Archives Media",12/7/2017 8:47:50,"Photographic Services","campus life","UER RG 216, A17-24, 9268"
271,"Barbara Morgan 2","Barbara Morgan message about Adler Planetarium programs inspiring young women to pursue a career in science.","2012-03-23","Communications and Marketing","Gjhr","Archives Media",12/7/2017 9:31:54,"Research and Economic Development","women's education","UER RG 216, A17-24, 9268"
272,"Boise And Beyond","Boise and Boise State tour ","2012-10-08","Communications and Marketing","Wama","Archives Media",12/14/2017 15:39:30,"Communications and Marketing","promotions; campus","UER RG 216, A17-24, 9268"
273,"Calculator Crunch","College of Engineering students celebrate the donation of new calculators by destroying their old calculators.","2012-03-01","Communications and Marketing","tc1E","Archives Media",12/14/2017 15:39:30,"College of Engineering","equipment and supplies","UER RG 216, A17-24, 9268"
274,"Campus Growth","Quick montage of aerial views through the decades highlighting campus expansion. Scenes of newly constructed buildings in 2013 including the Micron Business and Economics Building, Bleymaier Football Center, Yanke Research Park, Dona Larsen Park and others.","2013-08-22","Communications and Marketing","iGXD","Archives Media",12/14/2017 15:39:30,"Communications and Marketing","campus; history","UER RG 216, A17-24, 9268"
275,"Catalyst","Marla Hansen Catalyst overview ","2013-11-22","Communications and Marketing","VOak","Archives Media",12/14/2017 15:39:30,"Theatre Arts","performing arts","UER RG 216, A17-24, 9268"
276,"Fall On Campus","Scenes of campus in the fall season","2012-10-22","Communications and Marketing","bbTg","Archives Media",12/14/2017 15:39:30,"Communications and Marketing","campus","UER RG 216, A17-24, 9268"
277,"Golden Eagle Research","Golden Eagle Field Research ","2014-06-02","Communications and Marketing","IdLA","Archives Media",12/14/2017 15:39:30,"Raptor Biology Biological Science","research","UER RG 216, A17-24, 9268"
278,"Green Campus","Boise State Green Campus promotion for recycling, geothermal heating, bike lanes, gardening and other sustainable initiatives.","2013-09-11","Communications and Marketing","3BLd","Archives Media",12/14/2017 15:39:30,"Campus Sustainability","promotions; Conservation of natural resources","UER RG 216, A17-24, 9268"
279,"Greenspeed","Greenspeed, Vegetable Oil Fueled Truck, 2","2012-01-24","Communications and Marketing","QnVF","Archives Media",12/14/2017 15:39:30,"Student Organizations","Conservation of natural resources; Racing","UER RG 216, A17-24, 9268"
280,"Holiday Card  professional resolution","Slideshow and video overview of campus activities for 2014 with Choir singing.","2014-12-12","Communications and Marketing","YfJQ","Archives Media",12/14/2017 15:41:16,"Music Department","holidays","UER RG 216, A17-24, 9268"
281,"Holiday Card version 2","Choir sings in the background while there's an overview of Boise State and its programs. Version 2. ","2014-12-12","Communications and Marketing","G80K","Archives Media",12/14/2017 15:41:17,"Music Department","holidays","UER RG 216, A17-24, 9268"
282,"Holiday Tree","Tree Lighting Ceremony.","2013-12-10","Communications and Marketing","Cde8","Archives Media",12/14/2017 15:41:18,"Communications and Marketing","holidays","UER RG 216, A17-24, 9268"
283,"Iolanthe","Students and professors discuss Lolanthe a theatre production.","2012-02-27","Communications and Marketing","hxp8","Archives Media",12/14/2017 15:44:38,"Theatre Arts","performing arts","UER RG 216, A17-24, 9268"
284,"Josh Watkins","Josh Watkins, commencement speaker, speaks about his time at Boise State University.","2013-05-07","Communications and Marketing","DP3g","Archives Media",12/14/2017 15:44:49,"Commencement","public speaking","UER RG 216, A17-24, 9268"
285,"Mission Statement","Short video presenting the mission statement and values of Boise State University","2015-08-03","Communications and Marketing","0BWb","Archives Media",12/20/2017 12:42:48,"Communications and Marketing","mission statement","UER RG 216, A17-24, 9268"
286,"Monument Sign Install","Boise State monument sign from the Micron Business & Economics Building ","2012-05-18","Communications and Marketing","x6AE","Archives Media",12/14/2017 15:39:30,"College of Business and Economics","campus","UER RG 216, A17-24, 9268"
287,"New Employee Orientation","Short video with attractive clips of Boise State and the programs here. ","2015-04-07","Communications and Marketing","AqTb","Archives Media",12/20/2017 12:42:51,"Communications and Marketing","promotions","UER RG 216, A17-24, 9268"
288,"Osprey Banding","Osprey banding near Lake Cascade, Idaho","2014-07-24","Communications and Marketing","C0HH","Archives Media",12/14/2017 15:44:21,"Raptor Biology Biological Science","research","UER RG 216, A17-24, 9268"
289,"Boise State Commercial","Short video with attractive clips and reasons to visit Boise State University, 30 seconds.","2014-09-16","Communications and Marketing","Jbej","Archives Media",12/14/2017 15:39:30,"Admissions","promotions","UER RG 216, A17-24, 9268"
290,"Snowy Bronco","Buster Bronco near River Front Hall during winter","2014-11-13","Communications and Marketing","yLdR","Archives Media",12/14/2017 15:44:12,"Communications and Marketing","campus; mascots","UER RG 216, A17-24, 9268"
291,"Summer Programs","Summer classes at Boise State","2014-03-18","Communications and Marketing","GhvU","Archives Media",12/14/2017 15:44:15,"Registrar’s Office","academic programs","UER RG 216, A17-24, 9268"
292,"Tarifa Spain Bird Migration","Collaborative Research, Boise State and Fundacion Migres in Tarifa, Spain with the Intermountain Bird Observatory","2014-09-11","Communications and Marketing","IH8V","Archives Media",12/14/2017 15:39:30,"Raptor Biology Biological Science","research","UER RG 216, A17-24, 9268"
293,"Tree Lighting","Tree Lighting Ceremony in the Quad ","2014-12-05","Communications and Marketing","oqV5","Archives Media",12/14/2017 15:39:30,"Communications and Marketing","campus life; holidays","UER RG 216, A17-24, 9268"
294,"Video Services","Montage of clips demonstrating the style and types of video production through Video Services.","2013-03-29","Communications and Marketing","VyE6","Archives Media",12/14/2017 15:39:30,"Communications and Marketing","campus","UER RG 216, A17-24, 9268"
